,column,description,dtype,missing_percentage,unique_count,example_values
128,hardship_flag,Flags whether or not the borrower is on a hardship plan,str,0.0,2,"['N', 'Y']"
129,hardship_type,Describes the hardship plan offering,str,99.52,1,['INTEREST ONLY-3 MONTHS DEFERRAL']
130,hardship_reason,Describes the reason the hardship plan was offered,str,99.52,9,"['NATURAL_DISASTER', 'DIVORCE', 'EXCESSIVE_OBLIGATIONS', 'DISABILITY', 'UNEMPLOYMENT']"
131,hardship_status,"Describes if the hardship plan is active, pending, canceled, completed, or broken",str,99.52,3,"['BROKEN', 'COMPLETED', 'ACTIVE']"
132,deferral_term,Amount of months that the borrower is expected to pay less than the contractual monthly payment amount due to a hardship plan,float64,99.52,1,[3.0]
133,hardship_amount,The interest payment that the borrower has committed to make each month while they are on a hardship plan,float64,99.52,9162,"[47.01, 147.47, 213.98, 36.07, 167.72]"
134,hardship_start_date,The start date of the hardship plan period,str,99.52,27,"['Sep-2017', 'Jul-2017', 'Sep-2018', 'Dec-2017', 'Aug-2017']"
135,hardship_end_date,The end date of the hardship plan period,str,99.52,28,"['Dec-2017', 'Nov-2017', 'Oct-2017', 'Dec-2018', 'Feb-2018']"
136,payment_plan_start_date,"The day the first hardship plan payment is due. For example, if a borrower has a hardship plan period of 3 months, the start date is the start of the three-month period in which the borrower is allowed to make interest-only payments.",str,99.52,27,"['Oct-2017', 'Sep-2017', 'Aug-2017', 'Sep-2018', 'Dec-2017']"
137,hardship_length,The number of months the borrower will make smaller payments than normally obligated due to a hardship plan,float64,99.52,1,[3.0]
138,hardship_dpd,Account days past due as of the hardship plan start date,float64,99.52,34,"[26.0, 0.0, 18.0, 16.0, 27.0]"
139,hardship_loan_status,Loan Status as of the hardship plan start date,str,99.52,5,"['Late (16-30 days)', 'Current', 'Late (31-120 days)', 'In Grace Period', 'Issued']"
140,orig_projected_additional_accrued_interest,The original projected additional interest amount that will accrue for the given hardship payment plan as of the Hardship Start Date. This field will be null if the borrower has broken their hardship payment plan.,float64,99.62,7487,"[442.41, 641.94, 108.21, 503.16, 142.44]"
141,hardship_payoff_balance_amount,The payoff balance amount as of the hardship plan start date,float64,99.52,10893,"[3058.14, 12014.81, 18761.48, 4801.21, 18804.27]"
142,hardship_last_payment_amount,The last payment amount as of the hardship plan start date,float64,99.52,9045,"[61.23, 6.27, 275.35, 55.51, 756.87]"
143,disbursement_method,"The method by which the borrower receives their loan. Possible values are: CASH, DIRECT_PAY",str,0.0,2,"['Cash', 'DirectPay']"
144,debt_settlement_flag,"Flags whether or not the borrower, who has charged-off, is working with a debt-settlement company.",str,0.0,2,"['N', 'Y']"
145,debt_settlement_flag_date,The most recent date that the Debt_Settlement_Flag has been set,str,98.49,83,"['Nov-2017', 'May-2018', 'Feb-2019', 'Nov-2018', 'Jul-2018']"
146,settlement_status,"The status of the borrower’s settlement plan. Possible values are: COMPLETE, ACTIVE, BROKEN, CANCELLED, DENIED, DRAFT",str,98.49,3,"['COMPLETE', 'BROKEN', 'ACTIVE']"
147,settlement_date,The date that the borrower agrees to the settlement plan,str,98.49,90,"['Sep-2017', 'Nov-2017', 'Jan-2018', 'May-2018', 'Jun-2018']"
148,settlement_amount,The loan amount that the borrower has agreed to settle for,float64,98.49,21941,"[9915.0, 2761.0, 4382.0, 3513.0, 13403.0]"
149,settlement_percentage,The settlement amount as a percentage of the payoff balance amount on the loan,float64,98.49,2070,"[55.0, 50.01, 44.99, 45.01, 45.0]"
150,settlement_term,The number of months that the borrower will be on the settlement plan,float64,98.49,40,"[1.0, 10.0, 12.0, 16.0, 18.0]"
